Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
南金目戸建,神奈川県平塚市南金目,"ＪＲ東海道本線/平塚駅 バス18分 (バス停)金目駅 歩9分,小田急小田原線/東海大学前駅 歩41分,小田急小田原線/伊勢原駅 歩59分",築39年,2階建,1-2階,15万円,-,15万円,15万円,5SLDK,107.42m,https://suumo.jp/chintai/jnc_000053317648/?bc=100183918984
ツキシマサイドハイツ,栃木県宇都宮市東峰町,"ＪＲ宇都宮線/宇都宮駅 バス20分 (バス停)公園前 歩5分,東武宇都宮線/東武宇都宮駅 バス25分 (バス停)公園前 歩5分,東北新幹線/宇都宮駅 バス20分 (バス停)公園前 歩5分",築44年,2階建,2階,3万円,-,-,-,1K,23.13m,https://suumo.jp/chintai/jnc_000013077271/?bc=100116977570
京急本線 逸見駅 平屋 築42年,神奈川県横須賀市坂本町５,京急本線/逸見駅 歩24分,築42年,平屋,1-1階,6万円,-,6万円,-,4K,58.59m,https://suumo.jp/chintai/jnc_000055040235/?bc=100183797984
島田邸（西馬橋戸建）,千葉県松戸市西馬橋２,"ＪＲ常磐線/馬橋駅 歩18分,ＪＲ常磐線/新松戸駅 歩23分,流鉄流山線/幸谷駅 歩25分",築49年,2階建,1-2階,6万円,-,-,-,3DK,45.85m,https://suumo.jp/chintai/jnc_000054972633/?bc=100183519683
東京メトロ南北線 王子神谷駅 3階建 築33年,東京都足立区鹿浜３,"東京メトロ南北線/王子神谷駅 歩35分,日暮里・舎人ライナー/西新井大師西駅 歩23分,日暮里・舎人ライナー/江北駅 歩26分",築33年,3階建,3階,6万円,-,6万円,-,2DK,32m,https://suumo.jp/chintai/jnc_000013529658/?bc=100184047828
メゾンひまわり,東京都三鷹市中原３,"京王線/仙川駅 歩24分,ＪＲ総武線/吉祥寺駅 バス15分 (バス停)新川団地南口 歩3分",築45年,2階建,1階,6万円,-,6万円,-,1DK,28.43m,https://suumo.jp/chintai/jnc_000055085304/?bc=100183993742
魚地マンション,東京都足立区柳原１,"東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/堀切駅 歩5分,京成本線/京成関屋駅 歩4分",築54年,3階建,3階,6万円,-,6万円,6万円,1K,17.3m,https://suumo.jp/chintai/jnc_000055121133/?bc=100184041490
魚地マンション,東京都足立区柳原１,"東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/堀切駅 歩5分,京成本線/京成関屋駅 歩4分",築54年,3階建,3階,6.3万円,-,6.3万円,6.3万円,1K,27m,https://suumo.jp/chintai/jnc_000053177882/?bc=100184056796
魚地マンション,東京都足立区柳原１,"東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/堀切駅 歩5分,京成本線/京成関屋駅 歩4分",築54年,3階建,3階,6.4万円,-,6.4万円,6.4万円,1K,22.4m,https://suumo.jp/chintai/jnc_000055098370/?bc=100184056548
魚地マンション,東京都足立区柳原１,"東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/堀切駅 歩5分,京成本線/京成関屋駅 歩4分",築54年,3階建,3階,6.5万円,-,6.5万円,6.5万円,ワンルーム,24m,https://suumo.jp/chintai/jnc_000052709012/?bc=100184056810
ＪＲ中央線 阿佐ヶ谷駅 2階建 築57年,東京都杉並区阿佐谷北４,"ＪＲ中央線/阿佐ヶ谷駅 歩12分,西武新宿線/鷺ノ宮駅 歩16分,西武新宿線/都立家政駅 歩21分",築57年,2階建,1階,6万円,1000円,6万円,6万円,1K,23.89m,https://suumo.jp/chintai/jnc_000047654452/?bc=100183578263
エスペラルＣ,群馬県太田市東矢島町,東武小泉線/西小泉駅 歩36分,築16年,2階建,2階,6万円,1500円,-,-,2LDK,64.32m,https://suumo.jp/chintai/jnc_000041006977/?bc=100183576821
ＪＲ京浜東北線 鶴見駅 4階建 築48年,神奈川県横浜市鶴見区東寺尾北台,"ＪＲ京浜東北線/鶴見駅 歩20分,京急本線/京急鶴見駅 歩25分",築48年,4階建,2階,6万円,2000円,6万円,6万円,2DK,33.05m,https://suumo.jp/chintai/jnc_000054219460/?bc=100182972863
京急本線 京急鶴見駅 2階建 築55年,神奈川県横浜市鶴見区潮田町２,"京急本線/京急鶴見駅 歩14分,ＪＲ鶴見線/鶴見小野駅 歩14分,ＪＲ京浜東北線/鶴見駅 歩17分",築55年,2階建,1階,6.3万円,-,6.3万円,6.3万円,1K,26.5m,https://suumo.jp/chintai/jnc_000052977449/?bc=100184045344
ラソ　アレグリア,群馬県高崎市足門町,"ＪＲ上越線/群馬総社駅 歩62分,ＪＲ上越線/井野駅 歩78分,ＪＲ上越線/新前橋駅 歩70分",築6年,2階建,2階,6.3万円,3000円,6.3万円,6.3万円,2LDK,55.75m,https://suumo.jp/chintai/jnc_000054993945/?bc=100183607022
稲毛山王町レジデンス,千葉県千葉市稲毛区山王町,"ＪＲ総武本線/四街道駅 歩29分,千葉都市モノレール/みつわ台駅 歩42分,千葉都市モノレール/動物公園駅 歩45分",築37年,4階建,4階,6.3万円,5000円,-,-,3LDK,60m,https://suumo.jp/chintai/jnc_000043874487/?bc=100133974506
稲毛山王町レジデンス,千葉県千葉市稲毛区山王町,"ＪＲ総武本線/四街道駅 歩29分,千葉都市モノレール/みつわ台駅 歩42分,千葉都市モノレール/動物公園駅 歩45分",築37年,4階建,4階,6.5万円,5000円,-,-,3LDK,60m,https://suumo.jp/chintai/jnc_000043920568/?bc=100183662513
東村山青葉町住宅2号棟,東京都東村山市青葉町２,"ＪＲ武蔵野線/新秋津駅 歩22分,西武池袋線/秋津駅 歩28分,西武新宿線/久米川駅 バス12分 (バス停)青葉町住宅 歩2分",築44年,3階建,3階,6.5万円,3000円,6.5万円,6.5万円,2LDK,59.22m,https://suumo.jp/chintai/jnc_000049089574/?bc=100183675045
浜村アパート,東京都世田谷区宇奈根３,"東急田園都市線/二子玉川駅 歩34分,小田急線/成城学園前駅 歩25分,小田急線/喜多見駅 歩29分",築34年,2階建,2階,7万円,-,7万円,-,2DK,39.74m,https://suumo.jp/chintai/jnc_000029168585/?bc=100183792480
アーバン・ハイツ D,栃木県宇都宮市御幸ケ原町,"ＪＲ宇都宮線/岡本駅 歩38分,湘南新宿ライン宇須/宇都宮駅 歩53分,東武宇都宮線/東武宇都宮駅 歩68分",築28年,2階建,1-2階,7.5万円,500円,15万円,-,4DK,99.36m,https://suumo.jp/chintai/jnc_000054971973/?bc=100183522590
蕨市中央５丁目貸家,埼玉県蕨市中央５,"ＪＲ京浜東北線/蕨駅 歩15分,ＪＲ埼京線/戸田駅 歩17分,ＪＲ埼京線/北戸田駅 歩27分",築50年,2階建,1-2階,7.8万円,-,7.8万円,7.8万円,5K,98.53m,https://suumo.jp/chintai/jnc_000055016051/?bc=100183689557
ＪＲ京浜東北線 蕨駅 2階建 築50年,埼玉県蕨市中央５,"ＪＲ京浜東北線/蕨駅 歩15分,ＪＲ埼京線/戸田駅 歩17分,ＪＲ埼京線/北戸田駅 歩27分",築50年,2階建,-,7.8万円,-,7.8万円,7.8万円,5DK,78.39m,https://suumo.jp/chintai/jnc_000055003191/?bc=100183653605
ＪＲ総武線 高円寺駅 2階建 築60年,東京都杉並区高円寺南２,"ＪＲ総武線/高円寺駅 歩7分,東京メトロ丸ノ内線/新高円寺駅 歩11分,ＪＲ総武線/中野駅 歩16分",築60年,2階建,1階,7.5万円,3000円,3.75万円,7.5万円,1K,22.36m,https://suumo.jp/chintai/jnc_000054973547/?bc=100183675629
チサンマンション宇都宮第３,栃木県宇都宮市本丸町,"ＪＲ宇都宮線/宇都宮駅 歩21分,東武宇都宮線/東武宇都宮駅 歩15分,東北新幹線/宇都宮駅 歩21分",築47年,7階建,2階,8万円,-,-,-,2LDK,61.51m,https://suumo.jp/chintai/jnc_000048845690/?bc=100133771572
北寺尾7丁目戸建,神奈川県横浜市鶴見区北寺尾７,"東急東横線/菊名駅 歩22分,ＪＲ横浜線/大口駅 歩38分,東急東横線/妙蓮寺駅 歩30分",築46年,2階建,1-2階,8.4万円,-,8.4万円,-,2LDK,49.67m,https://suumo.jp/chintai/jnc_000053386088/?bc=100184077318
吉浜邸,神奈川県横浜市青葉区千草台,"東急田園都市線/藤が丘駅 歩18分,グリーンライン/川和町駅 歩23分,東急田園都市線/市が尾駅 歩25分",築48年,2階建,1-2階,8.9万円,-,17.8万円,8.9万円,4DK,60.44m,https://suumo.jp/chintai/jnc_000015564932/?bc=100183500804
ＪＲ総武線 西荻窪駅 2階建 築55年,東京都杉並区善福寺２,"ＪＲ総武線/西荻窪駅 歩12分,ＪＲ中央線/吉祥寺駅 歩23分",築55年,2階建,2階,9.5万円,1000円,9.5万円,9.5万円,3DK,50.95m,https://suumo.jp/chintai/jnc_000055104678/?bc=100184076682
グランシャリオ,東京都三鷹市新川５,ＪＲ中央線/吉祥寺駅 バス25分 (バス停)中原三丁目 歩3分,築21年,2階建,1階,10.2万円,3500円,-,-,2LDK,53.48m,https://suumo.jp/chintai/jnc_000053966224/?bc=100183517139
グランシャリオ,東京都三鷹市新川５,ＪＲ中央線/吉祥寺駅 バス25分 (バス停)中原三丁目 歩3分,築21年,2階建,1階,10.4万円,3500円,-,-,2LDK,53.48m,https://suumo.jp/chintai/jnc_000052065734/?bc=100150652298
グランシャリオ,東京都三鷹市新川５,ＪＲ中央線/吉祥寺駅 バス25分 (バス停)中原三丁目 歩3分,築21年,2階建,1階,10.4万円,3500円,-,-,2LDK,53.48m,https://suumo.jp/chintai/jnc_000053966225/?bc=100183517862
京王線 国領駅 6階建 築49年,東京都調布市染地２,"京王線/国領駅 歩18分,京王線/布田駅 歩17分,京王線/調布駅 歩25分",築49年,6階建,5階,11万円,-,11万円,-,3LDK,62.5m,https://suumo.jp/chintai/jnc_000053024721/?bc=100183780450
八千代町貸戸建住宅,群馬県高崎市八千代町１,ＪＲ高崎線/高崎駅 歩27分,築38年,平屋,-,12.5万円,8000円,25万円,25万円,5SDK,113.86m,https://suumo.jp/chintai/jnc_000055049743/?bc=100183881072
ＪＲ京浜東北線 東十条駅 3階建 築52年,東京都北区神谷２,"ＪＲ京浜東北線/東十条駅 歩9分,ＪＲ京浜東北線/赤羽駅 歩15分,東京メトロ南北線/王子神谷駅 歩13分",築52年,3階建,2階,5.3万円,3000円,-,-,1K,20m,https://suumo.jp/chintai/jnc_000055138710/?bc=100184233443
ＪＲ京浜東北線 東十条駅 3階建 築52年,東京都北区神谷２,"ＪＲ京浜東北線/東十条駅 歩9分,ＪＲ京浜東北線/赤羽駅 歩15分,東京メトロ南北線/王子神谷駅 歩13分",築52年,3階建,2階,5.3万円,3000円,5.3万円,5.3万円,1K,20m,https://suumo.jp/chintai/jnc_000052930593/?bc=100184195238
エルディム花月,栃木県宇都宮市下栗１,ＪＲ宇都宮線/宇都宮駅 バス30分 (バス停)砂田街道入口 歩4分,築32年,2階建,2階,4.1万円,1300円,-,-,2DK,39.73m,https://suumo.jp/chintai/jnc_000055015787/?bc=100183790730
スクエアハウスコバヤシ　Ａ,群馬県桐生市菱町４,ＪＲ両毛線/桐生駅 歩37分,築31年,2階建,1階,2.2万円,-,-,-,1K,20.46m,https://suumo.jp/chintai/jnc_000055049750/?bc=100183879057
岩昇ハイツＥ,栃木県宇都宮市岩曽町,"ＪＲ宇都宮線/宇都宮駅 歩42分,ＪＲ烏山線/岡本駅 歩47分,細谷車庫・白沢河原/地蔵前 歩6分",築23年,2階建,1階,5.5万円,-,5.5万円,-,3DK,56.62m,https://suumo.jp/chintai/jnc_000055136982/?bc=100184234814
グランシャリオB,群馬県太田市飯塚町,"東武伊勢崎線/太田駅 歩38分,東武小泉線/竜舞駅 歩25分,東武小泉線/西小泉駅 歩37分",築26年,2階建,1階,5.5万円,-,5.5万円,-,2LDK,48.84m,https://suumo.jp/chintai/jnc_000015152580/?bc=100184185304
望栄荘,神奈川県秦野市南矢名３,"小田急小田原線/東海大学前駅 歩20分,小田急小田原線/東海大学前駅 バス7分 (バス停)矢名 歩4分,小田急小田原線/鶴巻温泉駅 歩33分",築48年,2階建,2階,2.3万円,1000円,2.3万円,-,1K,23.14m,https://suumo.jp/chintai/jnc_000020411892/?bc=100025166467
望栄荘,神奈川県秦野市南矢名３,"小田急小田原線/東海大学前駅 歩20分,小田急小田原線/東海大学前駅 バス7分 (バス停)矢名 歩4分,小田急小田原線/鶴巻温泉駅 歩33分",築48年,2階建,2階,2.3万円,1000円,2.3万円,-,1K,23.14m,https://suumo.jp/chintai/jnc_000048756839/?bc=100154237201
峰町ダイゴハイツB,栃木県宇都宮市峰町,"ＪＲ宇都宮線/宇都宮駅 歩37分,東武宇都宮線/東武宇都宮駅 歩49分,東武宇都宮線/南宇都宮駅 歩65分",築31年,2階建,2階,2.3万円,-,-,-,1K,26.5m,https://suumo.jp/chintai/jnc_000054579531/?bc=100147410544
冨岡荘Ｂ,東京都練馬区石神井町５,"西武池袋線/石神井公園駅 歩15分,西武新宿線/上井草駅 歩20分,西武新宿線/上石神井駅 歩22分",築51年,2階建,2階,5.5万円,-,5.5万円,-,2K,30.1m,https://suumo.jp/chintai/jnc_000054995565/?bc=100183614157
笹屋マンション,埼玉県さいたま市浦和区瀬ヶ崎２,ＪＲ京浜東北線/北浦和駅 歩22分,築44年,3階建,2階,5.7万円,3000円,5.7万円,-,2DK,40m,https://suumo.jp/chintai/jnc_000030099569/?bc=100168195961
ＵＲ上和田,神奈川県大和市上和田,"相鉄本線/大和駅 バス15分 (バス停)団地入口 歩1分,小田急江ノ島線/高座渋谷駅 歩20分,相鉄いずみ野線/いずみ中央駅 バス10分 (バス停)上飯田車庫 歩9分",築51年,5階建,5階,5.59万円,2800円,11.18万円,-,3DK,53.07m,https://suumo.jp/chintai/jnc_000040351899/?bc=100183527062
田島コーポ,埼玉県朝霞市膝折町４,"東武東上線/朝霞駅 歩26分,東武東上線/朝霞台駅 歩28分",築42年,2階建,2階,2.6万円,2000円,-,-,1K,48.19m,https://suumo.jp/chintai/jnc_000040297109/?bc=100184028198
田島コーポ,埼玉県朝霞市膝折町４,"東武東上線/朝霞駅 歩26分,東武東上線/朝霞台駅 歩28分",築42年,2階建,2階,2.7万円,2000円,-,-,1K,48.19m,https://suumo.jp/chintai/jnc_000055068821/?bc=100184028200
田島コーポ,埼玉県朝霞市膝折町４,"東武東上線/朝霞駅 歩26分,東武東上線/朝霞台駅 歩28分",築42年,2階建,2階,2.7万円,2000円,-,-,1K,48.19m,https://suumo.jp/chintai/jnc_000055068820/?bc=100184028197
カーサ中澤,東京都世田谷区野沢１,"東急田園都市線/三軒茶屋駅 歩12分,東急田園都市線/駒沢大学駅 歩15分,東急世田谷線/西太子堂駅 歩16分",築55年,2階建,1階,6万円,-,-,-,1K,30m,https://suumo.jp/chintai/jnc_000055132017/?bc=100184248218
ＪＲ埼京線 北戸田駅 4階建 築37年,埼玉県戸田市美女木１,"ＪＲ埼京線/北戸田駅 歩28分,ＪＲ武蔵野線/武蔵浦和駅 歩26分,ＪＲ京浜東北線/川口駅 車26分(10.3km)",築37年,4階建,3階,6.5万円,3500円,-,-,3DK,51.84m,https://suumo.jp/chintai/jnc_000052809050/?bc=100184214272
東武伊勢崎線 梅島駅 4階建 築42年,東京都足立区六月１,"東武伊勢崎線/梅島駅 歩24分,東武伊勢崎線/西新井駅 歩23分,東武伊勢崎線/竹ノ塚駅 バス15分 (バス停)六月町 歩3分",築42年,4階建,2階,6.8万円,1000円,-,-,2LDK,38.88m,https://suumo.jp/chintai/jnc_000049693453/?bc=100184234868
ＪＲ京浜東北線 鶴見駅 4階建 築44年,神奈川県横浜市鶴見区下末吉４,ＪＲ京浜東北線/鶴見駅 歩22分,築44年,4階建,3階,6.7万円,2000円,-,-,2K,30m,https://suumo.jp/chintai/jnc_000054491418/?bc=100184122398
青木ビル,神奈川県横浜市鶴見区下末吉４,ＪＲ京浜東北線/鶴見駅 歩22分,築44年,4階建,3階,6.7万円,2000円,-,-,2K,30m,https://suumo.jp/chintai/jnc_000055132786/?bc=100184197042
ＵＲ神代,東京都狛江市西野川１,"京王線/つつじヶ丘駅 歩10分,京王線/調布駅 バス10分 (バス停)神代団地 歩2分,小田急線/成城学園前駅 バス17分 (バス停)団地中央 歩3分",築55年,5階建,3階,9.15万円,3070円,18.3万円,-,3DK,50.58m,https://suumo.jp/chintai/jnc_000055132724/?bc=100184207428
ＵＲ神代,東京都調布市西つつじケ丘４,"京王線/つつじヶ丘駅 歩10分,京王線/調布駅 バス10分 (バス停)神代団地 歩2分,小田急線/成城学園前駅 バス17分 (バス停)団地中央 歩3分",築55年,5階建,1階,9.15万円,3070円,18.3万円,-,3DK,50.58m,https://suumo.jp/chintai/jnc_000055132641/?bc=100184207427
Ｈａｒｃｈ赤羽,東京都北区志茂１,"ＪＲ京浜東北線/赤羽駅 歩10分,東京メトロ南北線/志茂駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩15分",築56年,2階建,1-2階,12.5万円,-,12.5万円,12.5万円,2LDK,53.71m,https://suumo.jp/chintai/jnc_000055125679/?bc=100184248474
ＪＲ京浜東北線 赤羽駅 2階建 築56年,東京都北区志茂１,"ＪＲ京浜東北線/赤羽駅 歩10分,東京メトロ南北線/志茂駅 歩5分,東京メトロ南北線/赤羽岩淵駅 歩15分",築56年,2階建,1-2階,12.5万円,-,12.5万円,12.5万円,2LDK,53.71m,https://suumo.jp/chintai/jnc_000055138713/?bc=100184216909
ＵＲ上和田,神奈川県大和市上和田,"相鉄本線/大和駅 バス15分 (バス停)団地入口 歩1分,小田急江ノ島線/高座渋谷駅 歩20分,相鉄いずみ野線/いずみ中央駅 バス10分 (バス停)上飯田車庫 歩9分",築51年,5階建,4階,5.79万円,2800円,11.58万円,-,3DK,53.07m,https://suumo.jp/chintai/jnc_000054974770/?bc=100183527063
ＭＡＩＳＯＮ　ＤＡＩＴＯ,埼玉県川口市青木２,"ＪＲ京浜東北線/川口駅 歩22分,埼玉高速鉄道/川口元郷駅 歩15分",築46年,3階建,3階,2.8万円,10000円,1.5万円,-,ワンルーム,12m,https://suumo.jp/chintai/jnc_000013158881/?bc=100066982327
ＭＡＩＳＯＮ　ＤＡＩＴＯ,埼玉県川口市青木２,"ＪＲ京浜東北線/川口駅 歩22分,埼玉高速鉄道/川口元郷駅 歩15分",築46年,3階建,3階,2.8万円,10000円,1.5万円,-,ワンルーム,12m,https://suumo.jp/chintai/jnc_000027278250/?bc=100090931780
ＪＲ京浜東北線 川口駅 3階建 築46年,埼玉県川口市青木２,"ＪＲ京浜東北線/川口駅 歩22分,埼玉高速鉄道/川口元郷駅 歩15分",築46年,3階建,2階,2.8万円,10000円,1.5万円,-,ワンルーム,12m,https://suumo.jp/chintai/jnc_000045383420/?bc=100145171161
ＪＲ京浜東北線 蒲田駅 2階建 築43年,東京都大田区中央６,"ＪＲ京浜東北線/蒲田駅 歩22分,東急池上線/池上駅 歩13分,東急池上線/蓮沼駅 歩24分",築43年,2階建,1階,6.5万円,1000円,6.5万円,6.5万円,1K,20m,https://suumo.jp/chintai/jnc_000054706964/?bc=100184192393
パーク・サイド杉浦　１,東京都練馬区谷原６,西武池袋線/石神井公園駅 歩22分,築43年,3階建,2階,7.6万円,2000円,-,-,3DK,52.54m,https://suumo.jp/chintai/jnc_000051435353/?bc=100158153594
パーク・サイド杉浦　１,東京都練馬区谷原６,西武池袋線/石神井公園駅 歩22分,築43年,3階建,2階,8.6万円,2000円,-,-,3DK,52.54m,https://suumo.jp/chintai/jnc_000055104821/?bc=100184073867
パーク・サイド杉浦　１,東京都練馬区谷原６,西武池袋線/石神井公園駅 歩22分,築43年,3階建,2階,8.6万円,2000円,-,-,3DK,52.54m,https://suumo.jp/chintai/jnc_000054507872/?bc=100183915284
グリーンハイツくるみ台Ａ,栃木県宇都宮市鶴田町,"ＪＲ宇都宮線/宇都宮駅 バス20分 (バス停)三の沢 歩12分,東武宇都宮線/東武宇都宮駅 バス15分 (バス停)三の沢 歩12分,東北新幹線/宇都宮駅 バス20分 (バス停)三の沢 歩12分",築37年,2階建,2階,2.9万円,-,-,-,1K,24.79m,https://suumo.jp/chintai/jnc_000027035186/?bc=100133769517
宝町ハイツ,群馬県太田市宝町,"東武伊勢崎線/細谷駅 歩32分,東武伊勢崎線/木崎駅 歩50分,東武桐生線/三枚橋駅 歩49分",築35年,2階建,1階,2.9万円,3000円,4万円,-,2DK,34.78m,https://suumo.jp/chintai/jnc_000054978621/?bc=000076243243
中村ハイツ,神奈川県横須賀市不入斗町４,"京急本線/横須賀中央駅 歩16分,京急本線/汐入駅 歩18分,京急本線/県立大学駅 歩20分",築52年,2階建,2階,2.9万円,3000円,-,-,1K,21.7m,https://suumo.jp/chintai/jnc_000013768320/?bc=100184024599
ＪＲ常磐線 羽鳥駅 4階建 築54年,茨城県小美玉市羽鳥,ＪＲ常磐線/羽鳥駅 歩11分,築54年,4階建,4階,2.1万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000055124541/?bc=100184183165
ＪＲ常磐線 羽鳥駅 4階建 築54年,茨城県小美玉市羽鳥,ＪＲ常磐線/羽鳥駅 歩11分,築54年,4階建,4階,2.1万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000055124542/?bc=100184183166
ＪＲ常磐線 羽鳥駅 4階建 築54年,茨城県小美玉市羽鳥,ＪＲ常磐線/羽鳥駅 歩11分,築54年,4階建,4階,2.6万円,-,-,-,2K,28.98m,https://suumo.jp/chintai/jnc_000054250770/?bc=100184183167
メゾンサカエ,埼玉県熊谷市大原１,"ＪＲ高崎線/熊谷駅 歩35分,秩父鉄道/石原駅 歩24分,上越新幹線/熊谷駅 歩35分",築33年,2階建,1階,3万円,-,4万円,-,1K,25m,https://suumo.jp/chintai/jnc_000055015913/?bc=100183713470
若葉荘,東京都中野区上高田２,"西武新宿線/新井薬師前駅 歩9分,ＪＲ総武線/中野駅 歩15分,東京メトロ東西線/落合駅 歩15分",築59年,2階建,2階,3万円,2000円,3万円,-,ワンルーム,13m,https://suumo.jp/chintai/jnc_000046882132/?bc=100148557956
ビレッジハウス阿久和1号棟,神奈川県横浜市瀬谷区阿久和西４,"相鉄本線/希望ヶ丘駅 バス11分 (バス停)西村 歩3分,相鉄本線/三ツ境駅 バス11分 (バス停)西村 歩3分,相鉄いずみ野線/いずみ野駅 バス11分 (バス停)原店 歩9分",築53年,5階建,5階,6.8万円,-,-,-,3DK,57.96m,https://suumo.jp/chintai/jnc_000045422673/?bc=100184129643
コーポあたご,埼玉県新座市あたご３,"ＪＲ武蔵野線/新座駅 バス15分 (バス停)団地センター 歩1分,西武池袋線/清瀬駅 バス14分 (バス停)団地センター 歩1分",築50年,2階建,2階,7.3万円,-,7.3万円,7.3万円,4LDK,90.59m,https://suumo.jp/chintai/jnc_000055115173/?bc=100184126271
グリーンハイツ,栃木県芳賀郡益子町大字塙,"真岡鉄道/七井駅 歩36分,真岡鉄道/益子駅 歩51分,真岡鉄道/北山駅 歩48分",築31年,2階建,1階,3万円,-,-,-,2K,35.67m,https://suumo.jp/chintai/jnc_000054978549/?bc=100183549468
Ｔ＆Ｍ（家電付き）,茨城県笠間市旭町,"ＪＲ常磐線/友部駅 歩45分,ＪＲ常磐線/友部駅 バス13分 (バス停)友部二中入口 歩7分",築23年,2階建,2階,3万円,2000円,-,-,1DK,28.98m,https://suumo.jp/chintai/jnc_000033952243/?bc=100174821286
ＵＲ町田山崎,東京都町田市山崎町,"ＪＲ横浜線/町田駅 バス15分 (バス停)山崎団地センター 歩1分,小田急線/鶴川駅 バス15分 (バス停)今井谷戸 歩13分,ＪＲ横浜線/古淵駅 バス10分 (バス停)山崎団地センター 歩1分",築51年,5階建,5階,6.49万円,3050円,12.98万円,-,3DK,56.65m,https://suumo.jp/chintai/jnc_000055085388/?bc=100184010796
山和マンション,千葉県船橋市習志野台８,東葉高速鉄道/船橋日大前駅 歩21分,築47年,4階建,2階,3.1万円,3000円,-,-,1K,25.92m,https://suumo.jp/chintai/jnc_000053720625/?bc=100155237389
山和マンション,千葉県船橋市習志野台８,東葉高速鉄道/船橋日大前駅 歩21分,築47年,4階建,2階,3.4万円,3000円,-,-,1K,25.92m,https://suumo.jp/chintai/jnc_000053723077/?bc=100173955556
朝日荘,東京都東村山市久米川町１,"ＪＲ武蔵野線/新秋津駅 歩20分,西武池袋線/秋津駅 歩23分,西武池袋線/所沢駅 歩23分",築48年,2階建,1階,3.1万円,-,3.1万円,-,1K,19.83m,https://suumo.jp/chintai/jnc_000048393185/?bc=100152723609
朝日荘,東京都東村山市久米川町１,"ＪＲ武蔵野線/新秋津駅 歩20分,西武池袋線/秋津駅 歩23分,西武池袋線/所沢駅 歩23分",築48年,2階建,1階,3.2万円,-,3.2万円,-,1K,19.83m,https://suumo.jp/chintai/jnc_000048393186/?bc=100152723603
ADDRESS,茨城県水戸市堀町,"ＪＲ常磐線/赤塚駅 歩44分,ＪＲ常磐線/水戸駅 車15分(6.1km),ＪＲ常磐線/内原駅 車21分(10.5km)",築24年,3階建,2階,2.8万円,3000円,-,-,1K,21.28m,https://suumo.jp/chintai/jnc_000055089133/?bc=100174408379
ADDRESS,茨城県水戸市堀町,"ＪＲ常磐線/赤塚駅 歩44分,ＪＲ常磐線/水戸駅 車15分(6.1km),ＪＲ常磐線/内原駅 車21分(10.5km)",築24年,3階建,2階,3.2万円,3000円,-,-,1K,21.28m,https://suumo.jp/chintai/jnc_000054601170/?bc=100179620662
ＪＲ横浜線 町田駅 2階建 築32年,東京都町田市木曽東１,"ＪＲ横浜線/町田駅 歩36分,ＪＲ横浜線/古淵駅 歩15分,小田急線/町田駅 歩32分",築32年,2階建,2階,3.2万円,-,3.2万円,-,ワンルーム,17.39m,https://suumo.jp/chintai/jnc_000040315640/?bc=100183649608
クレアール,茨城県鹿嶋市大字長栖,ＪＲ鹿島線/鹿島神宮駅 歩65分,新築,2階建,2階,5.5万円,3500円,5.5万円,-,1LDK,44.61m,https://suumo.jp/chintai/jnc_000049586863/?bc=100164619606
アーバンハイツ２,埼玉県さいたま市桜区大字五関,"ＪＲ埼京線/南与野駅 歩40分,ＪＲ京浜東北線/北浦和駅 バス20分 (バス停)浦和北高校 歩4分,ＪＲ京浜東北線/浦和駅 バス30分 (バス停)浦和北高校 歩4分",築28年,2階建,1階,3.4万円,2000円,-,-,1K,20m,https://suumo.jp/chintai/jnc_000028013194/?bc=100183684731
ハイツ路川II,茨城県つくば市春日４,つくばエクスプレス/つくば駅 歩37分,築31年,1階建,1階,3.4万円,3000円,3.4万円,-,1K,23m,https://suumo.jp/chintai/jnc_000054157955/?bc=100183716009
ハイツ路川II,茨城県つくば市春日４,つくばエクスプレス/つくば駅 歩37分,築31年,1階建,1階,3.4万円,3000円,3.4万円,-,1K,23m,https://suumo.jp/chintai/jnc_000013053762/?bc=100184066027
第一高野荘,東京都板橋区双葉町,"東武東上線/中板橋駅 歩7分,都営三田線/板橋本町駅 歩15分,東武東上線/ときわ台駅 歩14分",築59年,2階建,1階,2.7万円,3000円,2.7万円,2.7万円,ワンルーム,10m,https://suumo.jp/chintai/jnc_000055132289/?bc=100184196026
Ｐｒｉｍｒｏｓｅ（プリムローズ）　II,栃木県真岡市長田,"真岡鉄道/寺内駅 歩62分,真岡鉄道/真岡駅 歩65分",築3年,2階建,2階,5.7万円,3000円,-,-,2LDK,56.54m,https://suumo.jp/chintai/jnc_000055124585/?bc=100184182808
ＪＲ常磐線 石岡駅 3階建 築31年,茨城県石岡市八軒台,ＪＲ常磐線/石岡駅 歩36分,築31年,3階建,2階,3.5万円,-,3.5万円,-,2DK,34.72m,https://suumo.jp/chintai/jnc_000055037603/?bc=000081371120
